Name,Date Of Birth,Country,Number_200m,Number_first_50m,Number_second_50m,Number_third_50m,gender,Stroke
"VAN DER BURGH, Cameron",1988,RSA,02:12.7,28.7,33.49,34.25,m,Freestyle
"SAMILIDIS, Panagiotis",1993,GRE,02:12.7,30.23,33.16,34.52,m,Freestyle
"MURILLO VALDES, Jorge Mario",1991,COL,02:12.8,29.53,34.12,34.81,m,Freestyle
"CERDEIRA, Tales",1987,BRA,02:12.8,29.37,32.71,34.03,m,Freestyle
"HORVATH, David",1996,HUN,02:13.2,30.33,34.19,34.39,m,Freestyle
"CHOI, Kyu Woong",1990,KOR,02:13.4,29.82,33.93,34.64,m,Freestyle
"CAERTS, Basten",1997,BEL,02:13.4,29.31,33.58,34.3,m,Freestyle
"ALLIKVEE, Martin",1995,EST,02:13.7,30.62,33.95,34.55,m,Freestyle
"LEE, Hsuan-Yen",1993,TPE,02:14.8,29.6,34.3,34.15,m,Freestyle
"KOULOURIS, Dimitrios",1991,GRE,02:14.9,30.03,33.72,34.79,m,Freestyle
"SIMON, Thiago",1990,BRA,02:15.0,29.04,33.67,34.82,m,Freestyle
"OSELEDETS, Dmytro",1994,UKR,02:15.2,29.94,33.76,35.14,m,Freestyle
"PETRASHOV, Denis",2000,KGZ,02:16.6,30.69,35.52,35.45,m,Freestyle
"NASIMI SHAD, Arya",1999,IRI,02:20.2,32.47,35.64,36.08,m,Freestyle
"KANETOU, Rie",1988,JPN,02:20.3,32.74,35.52,35.97,f,Freestyle
"EFIMOVA, Yuliya",1992,RUS,02:22.0,33.1,35.61,35.84,f,Freestyle
"SHI, Jinglin",1993,CHN,02:22.3,32.89,36.15,36.59,f,Freestyle
"TUTTON, Chloe",1996,GBR,02:22.3,32.39,36.75,35.91,f,Freestyle
"MCKEOWN, Taylor",1995,AUS,02:22.4,32.26,35.73,37.04,f,Freestyle
"RENSHAW, Molly",1996,GBR,02:22.7,32.66,36.05,36.47,f,Freestyle
"SMITH, Kierra",1994,CAN,02:23.2,32.97,36.14,36.77,f,Freestyle
"PEDERSEN, Rikke Moeller",1989,DEN,02:23.7,32.08,36.34,36.53,f,Freestyle
"MCKEOWN, Taylor",1995,AUS,02:21.7,32.27,35.76,35.87,f,Freestyle
"KANETOU, Rie",1988,JPN,02:22.1,32.66,36.14,36.33,f,Freestyle
"RENSHAW, Molly",1996,GBR,02:22.3,32.47,35.82,36.51,f,Freestyle
"SHI, Jinglin",1993,CHN,02:22.4,32.55,36.11,36.6,f,Freestyle
"PEDERSEN, Rikke Moeller",1989,DEN,02:22.5,32.56,36.04,36.18,f,Freestyle
"EFIMOVA, Yuliya",1992,RUS,02:22.5,33.84,35.67,36.21,f,Freestyle
"TUTTON, Chloe",1996,GBR,02:22.7,32.55,35.69,36.72,f,Freestyle
"SMITH, Kierra",1994,CAN,02:22.9,32.65,36.64,36.58,f,Freestyle
"GUNES, Viktoria Zeynep",1998,TUR,02:23.5,32.91,36.3,36.97,f,Freestyle
"VALL MONTERO, Jessica",1988,ESP,02:24.2,33.17,36.33,37.39,f,Freestyle
"LUTHERSDOTTIR, Hrafnhildur",1991,ISL,02:24.4,32.63,37.15,36.82,f,Freestyle
"KING, Lillia C",1997,USA,02:24.6,32.07,36.7,37.89,f,Freestyle
"WATANABE, Kanako",1996,JPN,02:25.1,32.87,36.58,37.24,f,Freestyle
"LAUKKANEN, Jenna",1995,FIN,02:25.1,32.92,36.94,37.21,f,Freestyle
"ANDREEVA, Sofya",1998,RUS,02:25.9,33.7,36.91,37.74,f,Freestyle
"HANNIS, Molly C",1992,USA,02:26.8,33.29,36.9,38.47,f,Freestyle
"PEDERSEN, Rikke Moeller",1989,DEN,02:22.7,32.85,36.55,36.86,f,Freestyle
"KANETOU, Rie",1988,JPN,02:22.9,33.31,36.12,36.56,f,Freestyle
"MCKEOWN, Taylor",1995,AUS,02:23.0,32.48,35.73,36.95,f,Freestyle
"TUTTON, Chloe",1996,GBR,02:23.3,33.66,36.5,36.05,f,Freestyle
"RENSHAW, Molly",1996,GBR,02:23.4,33.04,36.22,37.05,f,Freestyle
"SMITH, Kierra",1994,CAN,02:23.7,33.3,36.47,36.75,f,Freestyle
"GUNES, Viktoria Zeynep",1998,TUR,02:23.8,33.34,36.42,37.04,f,Freestyle
"EFIMOVA, Yuliya",1992,RUS,02:23.9,34.7,36.88,36.08,f,Freestyle
"SHI, Jinglin",1993,CHN,02:24.3,33.13,37.61,36.81,f,Freestyle
"LUTHERSDOTTIR, Hrafnhildur",1991,ISL,02:24.4,33.12,36.37,37.08,f,Freestyle
"VALL MONTERO, Jessica",1988,ESP,02:24.6,33.14,37.09,37.09,f,Freestyle
"HANNIS, Molly C",1992,USA,02:24.7,33.28,37.17,37.29,f,Freestyle
"WATANABE, Kanako",1996,JPN,02:24.8,33.15,36.78,37.01,f,Freestyle
"LAUKKANEN, Jenna",1995,FIN,02:25.5,33.14,37.32,36.85,f,Freestyle
"KING, Lillia C",1997,USA,02:25.9,32.41,37.3,37.96,f,Freestyle
"ANDREEVA, Sofya",1998,RUS,02:26.6,34.2,37.09,37.54,f,Freestyle
"LECLUYSE, Fanny",1992,BEL,02:27.2,33.27,37.69,37.81,f,Freestyle
"MORAVCIKOVA, Martina",1988,CZE,02:27.5,33.73,37.41,37.63,f,Freestyle
"SEBESTYEN, Dalma",1997,HUN,02:27.9,33.87,37.41,38.51,f,Freestyle
"SZTANKOVICS, Anna",1996,HUN,02:28.0,33.92,37.26,38,f,Freestyle
"SEBASTIAN, Julia",1993,ARG,02:28.0,33.53,37.47,38.2,f,Freestyle
"BOHL, Georgia",1997,AUS,02:28.2,32.77,37.6,38.23,f,Freestyle
"MCCABE, Martha",1989,CAN,02:28.6,33.97,37.25,38.44,f,Freestyle
"YU, Jingyao",1999,CHN,02:28.6,33.52,37.52,38.51,f,Freestyle
"DOYLE, Fiona",1991,IRL,02:29.8,33.03,37.58,38.46,f,Freestyle
"HANSSON, Sophie",1998,SWE,02:30.6,34.22,38.14,38.51,f,Freestyle
"RIBAKOVA, Alona",1991,LAT,02:30.8,34.02,37.84,38.81,f,Freestyle
"IVRI, Amit",1989,ISR,02:31.5,34.16,38.07,39.03,f,Freestyle
"BACK, Su Yeon",1991,KOR,02:32.8,33.58,37.77,39.7,f,Freestyle
"BALANDIN, Dmitriy",1995,KAZ,02:07.5,29.43,31.96,32.76,m,Freestyle
"PRENOT, Josh C",1993,USA,02:07.5,29.35,32.7,32.33,m,Freestyle
"CHUPKOV, Anton",1997,RUS,02:07.7,29.85,32.51,32.86,m,Freestyle
"WILLIS, Andrew",1990,GBR,02:07.8,29.5,32.88,32.68,m,Freestyle
"KOSEKI, Yasuhiro",1992,JPN,02:07.8,29,31.86,32.88,m,Freestyle
"WATANABE, Ippei",1997,JPN,02:07.9,29.41,32.94,32.77,m,Freestyle
"KOCH, Marco",1990,GER,02:08.0,29.25,33.06,32.65,m,Freestyle
"CORDES, Kevin",1993,USA,02:08.3,29.1,33.39,32.6,m,Freestyle
"WATANABE, Ippei",1997,JPN,02:07.2,29.14,32.69,32.72,m,Freestyle
"WILLIS, Andrew",1990,GBR,02:07.7,29.04,33,32.87,m,Freestyle
"PRENOT, Josh C",1993,USA,02:07.8,29.43,32.72,32.53,m,Freestyle
"KOSEKI, Yasuhiro",1992,JPN,02:07.9,28.88,32.93,33.45,m,Freestyle
"CORDES, Kevin",1993,USA,02:08.0,28.97,32.43,32.83,m,Freestyle
"CHUPKOV, Anton",1997,RUS,02:08.1,29.42,32.99,33.12,m,Freestyle
"KOCH, Marco",1990,GER,02:08.1,29.2,33.34,32.74,m,Freestyle
"BALANDIN, Dmitriy",1995,KAZ,02:08.2,29.05,32.74,33.32,m,Freestyle
"MAO, Feilian",1993,CHN,02:09.6,29.71,33.42,33.7,m,Freestyle
"KHOMENKO, Ilya",1995,RUS,02:09.7,29.57,32.98,33.23,m,Freestyle
"PERSSON, Erik",1994,SWE,02:10.1,29.92,33.11,33.33,m,Freestyle
"LI, Xiang",1993,CHN,02:10.9,29.35,33.98,33.88,m,Freestyle
"BENSON, Craig H",1994,GBR,02:10.9,29.78,32.99,33.65,m,Freestyle
"PIZZINI, Luca",1989,ITA,02:11.5,29.7,33.43,34.2,m,Freestyle
"CLAVERIE, Carlos",1996,VEN,02:11.6,29.69,33.31,33.36,m,Freestyle
"MATTSSON, Matti",1993,FIN,02:13.0,29.62,33.16,34.03,m,Freestyle
"CHUPKOV, Anton",1997,RUS,02:07.9,29.59,33.18,32.75,m,Freestyle
"KOSEKI, Yasuhiro",1992,JPN,02:08.6,28.9,33.05,33.08,m,Freestyle
"WILLIS, Andrew",1990,GBR,02:08.9,29.67,33,33.61,m,Freestyle
"KHOMENKO, Ilya",1995,RUS,02:08.9,29.19,32.97,33.37,m,Freestyle
"KOCH, Marco",1990,GER,02:09.0,29.85,32.85,33.21,m,Freestyle
"BALANDIN, Dmitriy",1995,KAZ,02:09.0,30.08,32.89,33.5,m,Freestyle
"CORDES, Kevin",1993,USA,02:09.3,29.36,33.05,33.51,m,Freestyle
"WATANABE, Ippei",1997,JPN,02:09.6,29.2,33.17,33.39,m,Freestyle
"MAO, Feilian",1993,CHN,02:09.8,29.98,33.11,33.93,m,Freestyle
"PRENOT, Josh C",1993,USA,02:09.9,29.95,33.28,33.35,m,Freestyle
"MATTSSON, Matti",1993,FIN,02:10.1,29.46,33.07,33.56,m,Freestyle
"PERSSON, Erik",1994,SWE,02:10.1,29.94,32.66,33.7,m,Freestyle
"LI, Xiang",1993,CHN,02:10.2,29.47,33.69,33.68,m,Freestyle
"CLAVERIE, Carlos",1996,VEN,02:10.4,29.82,33.34,33.03,m,Freestyle
"BENSON, Craig H",1994,GBR,02:11.2,30.18,33.57,33.76,m,Freestyle
"PIZZINI, Luca",1989,ITA,02:11.3,29.52,33.96,33.8,m,Freestyle
"GYURTA, Daniel",1989,HUN,02:11.3,29.66,33.22,33.73,m,Freestyle
"MCKEE, Anton Sveinn",1993,ISL,02:11.4,30.54,33.4,33.66,m,Freestyle
"QUINN, Nicholas",1993,IRL,02:11.7,29.56,33.35,33.63,m,Freestyle
"KAESER, Yannick",1992,SUI,02:11.8,30.44,33.37,33.92,m,Freestyle
"CARNOL, Laurent",1989,LUX,02:11.9,30.38,33.48,34.08,m,Freestyle
"TITENIS, Giedrius",1989,LTU,02:12.1,29.84,33.7,33.91,m,Freestyle
"SNYDERS, Glenn A",1987,NZL,02:12.5,29.62,33.5,34.42,m,Freestyle
"BAUMANN, Ashton",1993,CAN,02:12.6,29.98,33.31,34.27,m,Freestyle
"CROUS, Jarred",1996,RSA,02:12.6,29.68,33.34,34.27,m,Freestyle
"VAN DER BURGH, Cameron",1988,RSA,02:12.7,28.7,33.49,34.25,m,Freestyle
"SAMILIDIS, Panagiotis",1993,GRE,02:12.7,30.23,33.16,34.52,m,Freestyle
"MURILLO VALDES, Jorge Mario",1991,COL,02:12.8,29.53,34.12,34.81,m,Freestyle
"CERDEIRA, Tales",1987,BRA,02:12.8,29.37,32.71,34.03,m,Freestyle
"HORVATH, David",1996,HUN,02:13.2,30.33,34.19,34.39,m,Freestyle
"CHOI, Kyu Woong",1990,KOR,02:13.4,29.82,33.93,34.64,m,Freestyle
"CAERTS, Basten",1997,BEL,02:13.4,29.31,33.58,34.3,m,Freestyle
"ALLIKVEE, Martin",1995,EST,02:13.7,30.62,33.95,34.55,m,Freestyle
"LEE, Hsuan-Yen",1993,TPE,02:14.8,29.6,34.3,34.15,m,Freestyle
"KOULOURIS, Dimitrios",1991,GRE,02:14.9,30.03,33.72,34.79,m,Freestyle
"SIMON, Thiago",1990,BRA,02:15.0,29.04,33.67,34.82,m,Freestyle
"OSELEDETS, Dmytro",1994,UKR,02:15.2,29.94,33.76,35.14,m,Freestyle
"PETRASHOV, Denis",2000,KGZ,02:16.6,30.69,35.52,35.45,m,Freestyle
"NASIMI SHAD, Arya",1999,IRI,02:20.2,32.47,35.64,36.08,m,Freestyle
"KANETOU, Rie",1988,JPN,02:20.3,32.74,35.52,35.97,f,Freestyle
"EFIMOVA, Yuliya",1992,RUS,02:22.0,33.1,35.61,35.84,f,Freestyle
"SHI, Jinglin",1993,CHN,02:22.3,32.89,36.15,36.59,f,Freestyle
"TUTTON, Chloe",1996,GBR,02:22.3,32.39,36.75,35.91,f,Freestyle
"MCKEOWN, Taylor",1995,AUS,02:22.4,32.26,35.73,37.04,f,Freestyle
"RENSHAW, Molly",1996,GBR,02:22.7,32.66,36.05,36.47,f,Freestyle
"SMITH, Kierra",1994,CAN,02:23.2,32.97,36.14,36.77,f,Freestyle
"PEDERSEN, Rikke Moeller",1989,DEN,02:23.7,32.08,36.34,36.53,f,Freestyle
"MCKEOWN, Taylor",1995,AUS,02:21.7,32.27,35.76,35.87,f,Freestyle
"KANETOU, Rie",1988,JPN,02:22.1,32.66,36.14,36.33,f,Freestyle
"RENSHAW, Molly",1996,GBR,02:22.3,32.47,35.82,36.51,f,Freestyle
"SHI, Jinglin",1993,CHN,02:22.4,32.55,36.11,36.6,f,Freestyle
"PEDERSEN, Rikke Moeller",1989,DEN,02:22.5,32.56,36.04,36.18,f,Freestyle
"EFIMOVA, Yuliya",1992,RUS,02:22.5,33.84,35.67,36.21,f,Freestyle
"TUTTON, Chloe",1996,GBR,02:22.7,32.55,35.69,36.72,f,Freestyle
"SMITH, Kierra",1994,CAN,02:22.9,32.65,36.64,36.58,f,Freestyle
"GUNES, Viktoria Zeynep",1998,TUR,02:23.5,32.91,36.3,36.97,f,Freestyle
"VALL MONTERO, Jessica",1988,ESP,02:24.2,33.17,36.33,37.39,f,Freestyle
"LUTHERSDOTTIR, Hrafnhildur",1991,ISL,02:24.4,32.63,37.15,36.82,f,Freestyle
"KING, Lillia C",1997,USA,02:24.6,32.07,36.7,37.89,f,Freestyle
"WATANABE, Kanako",1996,JPN,02:25.1,32.87,36.58,37.24,f,Freestyle
"LAUKKANEN, Jenna",1995,FIN,02:25.1,32.92,36.94,37.21,f,Freestyle
"ANDREEVA, Sofya",1998,RUS,02:25.9,33.7,36.91,37.74,f,Freestyle
"HANNIS, Molly C",1992,USA,02:26.8,33.29,36.9,38.47,f,Freestyle
"PEDERSEN, Rikke Moeller",1989,DEN,02:22.7,32.85,36.55,36.86,f,Freestyle
"KANETOU, Rie",1988,JPN,02:22.9,33.31,36.12,36.56,f,Freestyle
"MCKEOWN, Taylor",1995,AUS,02:23.0,32.48,35.73,36.95,f,Freestyle
"TUTTON, Chloe",1996,GBR,02:23.3,33.66,36.5,36.05,f,Freestyle
"RENSHAW, Molly",1996,GBR,02:23.4,33.04,36.22,37.05,f,Freestyle
"SMITH, Kierra",1994,CAN,02:23.7,33.3,36.47,36.75,f,Freestyle
"GUNES, Viktoria Zeynep",1998,TUR,02:23.8,33.34,36.42,37.04,f,Freestyle
"EFIMOVA, Yuliya",1992,RUS,02:23.9,34.7,36.88,36.08,f,Freestyle
"SHI, Jinglin",1993,CHN,02:24.3,33.13,37.61,36.81,f,Freestyle
"LUTHERSDOTTIR, Hrafnhildur",1991,ISL,02:24.4,33.12,36.37,37.08,f,Freestyle
"VALL MONTERO, Jessica",1988,ESP,02:24.6,33.14,37.09,37.09,f,Freestyle
"HANNIS, Molly C",1992,USA,02:24.7,33.28,37.17,37.29,f,Freestyle
"WATANABE, Kanako",1996,JPN,02:24.8,33.15,36.78,37.01,f,Freestyle
"LAUKKANEN, Jenna",1995,FIN,02:25.5,33.14,37.32,36.85,f,Freestyle
"KING, Lillia C",1997,USA,02:25.9,32.41,37.3,37.96,f,Freestyle
"ANDREEVA, Sofya",1998,RUS,02:26.6,34.2,37.09,37.54,f,Freestyle
"LECLUYSE, Fanny",1992,BEL,02:27.2,33.27,37.69,37.81,f,Freestyle
"MORAVCIKOVA, Martina",1988,CZE,02:27.5,33.73,37.41,37.63,f,Freestyle
"SEBESTYEN, Dalma",1997,HUN,02:27.9,33.87,37.41,38.51,f,Freestyle
"SZTANKOVICS, Anna",1996,HUN,02:28.0,33.92,37.26,38,f,Freestyle
"SEBASTIAN, Julia",1993,ARG,02:28.0,33.53,37.47,38.2,f,Freestyle
"BOHL, Georgia",1997,AUS,02:28.2,32.77,37.6,38.23,f,Freestyle
"MCCABE, Martha",1989,CAN,02:28.6,33.97,37.25,38.44,f,Freestyle
"YU, Jingyao",1999,CHN,02:28.6,33.52,37.52,38.51,f,Freestyle
"DOYLE, Fiona",1991,IRL,02:29.8,33.03,37.58,38.46,f,Freestyle
"HANSSON, Sophie",1998,SWE,02:30.6,34.22,38.14,38.51,f,Freestyle
"RIBAKOVA, Alona",1991,LAT,02:30.8,34.02,37.84,38.81,f,Freestyle
"IVRI, Amit",1989,ISR,02:31.5,34.16,38.07,39.03,f,Freestyle
"BACK, Su Yeon",1991,KOR,02:32.8,33.58,37.77,39.7,f,Freestyle
"MUSITELLI, Enzo",2003,FRA,02:10.5,28.83,32.75,34.6,m,Freestyle
"ESCARAVAGE, Quentin",2003,FRA,02:16.0,29.52,33.47,34.42,m,Freestyle
"ROBIN, Mateo",2005,FRA,02:17.7,30.87,35.15,37.16,m,Freestyle
"QUERLIN-ORILLARD, Tristan",2006,FRA,02:18.0,30.47,34.93,37.06,m,Freestyle
"FADDA SAUVAGEOT, Romeo-Cesar",2007,FRA,02:22.0,31.12,36.16,37.05,m,Freestyle
"BRENOT, Victor",2005,FRA,02:24.4,32.48,37.78,37.85,m,Freestyle
"BOVAY, Theo",2005,FRA,02:24.6,31.9,37.29,38.2,m,Freestyle
"ANTOINE, Oscar",2004,FRA,02:27.4,31.27,37.43,39.05,m,Freestyle
"PETITE, Yanis",2004,FRA,02:29.4,32.1,37.66,39.6,m,Freestyle
"BOUCHY, Noa",2007,FRA,02:29.6,33.32,38.63,39.38,m,Freestyle
"FAUCOLNIER, Jules",2005,FRA,02:38.8,34.64,40.86,42.29,m,Freestyle
"CORDONNIER, Timothe",2006,FRA,02:39.9,35.24,42.42,42.06,m,Freestyle
"GARNIER, Mathis",2008,FRA,02:41.0,35.13,41.2,42.59,m,Freestyle
"CREED, Tristan-Janos",2007,GBR,02:41.5,34.55,41.19,43.35,m,Freestyle
"PERRIOT-COMTE, Nathan",2008,FRA,02:47.6,36.36,42.44,44.75,m,Freestyle
"GUENNOC-JUDAS, Ewen",2009,FRA,03:19.7,43.41,51.11,53,m,Freestyle
"MUSITELLI, Enzo",2003,FRA,02:10.1,29.6,33.32,34.39,m,Freestyle
"ESCARAVAGE, Quentin",2003,FRA,02:17.1,30.42,35.06,35.41,m,Freestyle
"ROBIN, Mateo",2005,FRA,02:19.2,30.7,35.48,37.52,m,Freestyle
"FADDA SAUVAGEOT, Romeo-Cesar",2007,FRA,02:21.8,30.53,34.29,37.78,m,Freestyle
"QUERLIN-ORILLARD, Tristan",2006,FRA,02:22.1,30.61,36.39,38.72,m,Freestyle
"BOVAY, Theo",2005,FRA,02:25.2,30.91,37.08,38.59,m,Freestyle
"PETITE, Yanis",2004,FRA,02:28.6,31.01,37.64,39.71,m,Freestyle
"BRENOT, Victor",2005,FRA,02:29.7,33.51,38.6,39.27,m,Freestyle
"BOUCHY, Noa",2007,FRA,02:30.0,33.09,38.35,39.09,m,Freestyle
"ANTOINE, Oscar",2004,FRA,02:30.1,31.52,37.94,39.7,m,Freestyle
"FAUCOLNIER, Jules",2005,FRA,02:40.3,35.14,41.74,41.06,m,Freestyle
"GARNIER, Mathis",2008,FRA,02:42.9,34.96,40.97,44.15,m,Freestyle
"CREED, Tristan-Janos",2007,GBR,02:44.0,34.53,41.45,44.47,m,Freestyle
"CORDONNIER, Timothe",2006,FRA,02:45.0,35.79,42.79,44.89,m,Freestyle
"PERRIOT-COMTE, Nathan",2008,FRA,02:50.0,36.21,43.65,44.31,m,Freestyle
"GUENNOC-JUDAS, Ewen",2009,FRA,03:22.9,43.85,52.78,53.13,m,Freestyle
"MILAK, Kristof",2000,HUN,01:51.1,24.57,28.55,28.64,m,Freestyle
"BURDISSO, Federico",2001,ITA,01:54.3,25.06,28.13,29.77,m,Freestyle
"KENDERESI, Tamas",1996,HUN,01:54.4,25.5,29.08,29.76,m,Freestyle
"IVANOV, Antani A",1999,BUL,01:54.5,25.29,29,29.76,m,Freestyle
"PONTI, Noe",2001,SUI,01:55.2,25.55,29.33,29.79,m,Freestyle
"CROENEN, Louis",1994,BEL,01:55.7,25.6,29.45,30.23,m,Freestyle
"KUDASHEV, Alexander",1995,RUS,01:56.3,25.8,29.34,30.45,m,Freestyle
"CARINI, Giacomo",1997,ITA,01:56.7,25.66,29.09,30.57,m,Freestyle
"KENDERESI, Tamas",1996,HUN,01:54.4,25.83,29.34,30.05,m,Freestyle
"MILAK, Kristof",2000,HUN,01:54.7,24.87,29.8,30.31,m,Freestyle
"BURDISSO, Federico",2001,ITA,01:55.0,25.46,28.89,29.91,m,Freestyle
"IVANOV, Antani A",1999,BUL,01:55.5,25.83,29.39,30.32,m,Freestyle
"PONTI, Noe",2001,SUI,01:55.8,25.67,29.26,30.62,m,Freestyle
"CARINI, Giacomo",1997,ITA,01:55.9,25.68,28.87,30.39,m,Freestyle
"CROENEN, Louis",1994,BEL,01:56.0,25.69,29.56,30.24,m,Freestyle
"KUDASHEV, Alexander",1995,RUS,01:56.4,25.9,29.48,30.02,m,Freestyle
"CHMIELEWSKI, Krzysztof",2004,POL,01:56.5,25.92,29.68,30.33,m,Freestyle
"ZIRK, Kregor",1999,EST,01:56.6,26.05,29.24,30.3,m,Freestyle
"TROYANOVS'KYY, Igor",2002,UKR,01:57.0,26.4,30.29,30.13,m,Freestyle
"KESIL', Denys",2000,UKR,01:57.0,25.87,29.68,30.45,m,Freestyle
"MAJERSKI, Jakub",2000,POL,01:57.6,26.04,29.78,30.45,m,Freestyle
"MARCHAND, Leon",2002,FRA,01:57.8,26.05,29.93,30.19,m,Freestyle
"SANCOV, Alexei",1999,MDA,01:57.9,25.81,29.88,30.26,m,Freestyle
"KLENZ, Ramon",1998,GER,01:58.3,25.89,29.74,30.68,m,Freestyle
"MILAK, Kristof",2000,HUN,01:54.4,25.22,29.47,29.53,m,Freestyle
"IVANOV, Antani A",1999,BUL,01:54.7,25.83,28.98,29.93,m,Freestyle
"CHMIELEWSKI, Krzysztof",2004,POL,01:55.5,26.09,29.28,29.37,m,Freestyle
"PONTI, Noe",2001,SUI,01:55.7,25.39,29.22,30.4,m,Freestyle
"BURDISSO, Federico",2001,ITA,01:55.7,25.49,28.26,29.84,m,Freestyle
"MAJERSKI, Jakub",2000,POL,01:56.3,25.66,29.24,30.09,m,Freestyle
"MARCHAND, Leon",2002,FRA,01:56.3,26.11,29.29,30.19,m,Freestyle
"CARINI, Giacomo",1997,ITA,01:56.7,26.01,29.28,30.39,m,Freestyle
"KENDERESI, Tamas",1996,HUN,01:57.0,25.71,29.11,30.61,m,Freestyle
"CHRZANOWSKI, Damian",1998,POL,01:57.2,25.98,29.72,30.23,m,Freestyle
"KUDASHEV, Alexander",1995,RUS,01:57.2,25.87,29.73,30.36,m,Freestyle
"CROENEN, Louis",1994,BEL,01:57.3,25.96,29.44,30.69,m,Freestyle
"KESIL', Denys",2000,UKR,01:57.3,26.01,29.94,31.05,m,Freestyle
"TROYANOVS'KYY, Igor",2002,UKR,01:57.4,26.95,30.45,30.04,m,Freestyle
"ZIRK, Kregor",1999,EST,01:57.6,26.49,29.67,30.63,m,Freestyle
"SANCOV, Alexei",1999,MDA,01:57.8,25.84,30.44,29.76,m,Freestyle
"KLENZ, Ramon",1998,GER,01:58.0,25.86,29.74,30.98,m,Freestyle
"POPRAWA, Michal",1994,POL,01:58.1,26.39,29.76,30.75,m,Freestyle
"GEMOV, Ondrej",1999,CZE,01:58.2,26.35,29.79,30.66,m,Freestyle
"PONS RAMON, Joan Lluis",1996,ESP,01:58.5,27.02,30.29,30.58,m,Freestyle
"HLOBEN, Adam",2001,CZE,01:58.6,26.1,30.57,30.86,m,Freestyle
"BICZO, Bence",1993,HUN,01:58.7,26.31,29.68,30.81,m,Freestyle
"TOROK, Dominik Mark",2002,HUN,01:58.9,26.14,30.46,31.08,m,Freestyle
"MILDRED, Edward",2003,GBR,01:59.0,27.16,30.39,30.37,m,Freestyle
"DIMITRIADIS, Stefanos",1989,GRE,01:59.3,27.18,30.54,30.54,m,Freestyle
"GONZALEZ ALVAREZ, Arbidel",2002,ESP,01:59.6,26.48,29.95,30.64,m,Freestyle
"GSCHWENTNER, Xaver",1999,AUT,01:59.7,26.31,30.2,31.13,m,Freestyle
"SHEMBEREV, Maksym",1993,AZE,01:59.8,27.63,30.3,31.03,m,Freestyle
"LUNAK, Sebastian",2002,CZE,02:00.0,25.84,29.56,31.18,m,Freestyle
"ESPERNBERGER, Martin",2003,AUT,02:01.2,26.67,30.64,31.32,m,Freestyle
"TOSCAN, Marius",2002,SUI,02:01.2,27.67,30.6,31.32,m,Freestyle
"CARNEIRO, Joao Soares",2003,LUX,02:01.9,27.02,31.11,31.76,m,Freestyle
"VALIZADA, Ramil",2004,AZE,02:04.8,28.37,31.75,32.84,m,Freestyle
"KHRYPUNOV, Ievhen",2002,UKR,02:05.0,27.88,31.23,32.28,m,Freestyle
"PETROVSKI, Davor",2000,MKD,02:05.8,28.15,31.78,32.37,m,Freestyle
"PUYO, Emilien",2003,MON,02:11.4,28.88,33.57,34.07,m,Freestyle
"KAPAS, Boglarka",1993,HUN,02:06.5,29.09,32.74,32.22,f,Freestyle
"HOSSZU, Katinka",1989,HUN,02:08.1,29.21,33.06,33.08,f,Freestyle
"CHIMROVA, Svetlana",1996,RUS,02:08.6,29.16,33.25,33.15,f,Freestyle
"BACH, Helena Rosendahl",2000,DEN,02:08.9,29.44,32.32,33.36,f,Freestyle
"CUSINATO, Ilaria",1999,ITA,02:08.9,29.57,32.67,33.44,f,Freestyle
"STEPHENS, Laura Kathleen",1999,GBR,02:09.4,29.05,32.97,33.24,f,Freestyle
"DEMLER, Kathrin",1996,GER,02:09.9,29.89,33.09,33.35,f,Freestyle
"MACINNES, Keanna",2001,GBR,02:10.3,29.02,33.59,33.78,f,Freestyle
"KAPAS, Boglarka",1993,HUN,02:07.2,29.16,32.92,32.7,f,Freestyle
"HOSSZU, Katinka",1989,HUN,02:08.8,29.03,33.09,33.72,f,Freestyle
"BACH, Helena Rosendahl",2000,DEN,02:08.9,29.39,32.94,33.17,f,Freestyle
"CHIMROVA, Svetlana",1996,RUS,02:09.1,29.21,33.36,32.78,f,Freestyle
"CUSINATO, Ilaria",1999,ITA,02:09.3,29.16,33.03,33.49,f,Freestyle
"STEPHENS, Laura Kathleen",1999,GBR,02:09.4,29.2,33,33.49,f,Freestyle
"DEMLER, Kathrin",1996,GER,02:09.6,29.77,32.89,33.57,f,Freestyle
"MACINNES, Keanna",2001,GBR,02:09.8,29.25,33.4,33.62,f,Freestyle
"MONTEIRO, Ana Catarina",1993,POR,02:10.1,29.62,33.31,33.39,f,Freestyle
"USTUNDAG, Nida Eliz",1996,TUR,02:10.1,29.89,33.35,33.47,f,Freestyle
"CRISPINO, Antonella",2003,ITA,02:10.7,29.48,33.59,34.33,f,Freestyle
"HUFNAGL, Claudia",1996,AUT,02:12.3,30.03,33.49,33.71,f,Freestyle
"NAZIEBLO, Klaudia",1993,POL,02:12.6,29.43,33.28,34.25,f,Freestyle
"TORRONTEGUI GUTIERREZ, Carlota",2003,ESP,02:14.5,29.25,34.04,35.09,f,Freestyle
"KAJTAZ, Amina",1996,BIH,02:15.5,29.63,33.5,35.03,f,Freestyle
"BORER, Fanny",1996,SUI,02:15.8,30.89,34.38,35.04,f,Freestyle
"KAPAS, Boglarka",1993,HUN,02:07.6,29.18,33.2,32.63,f,Freestyle
"HOSSZU, Katinka",1989,HUN,02:08.4,29.01,32.94,33.38,f,Freestyle
